Date,Block ID,Burn Treatment ,Pair ID,Burn/Scrub,Start Time,Test Duration (h),Number of pellets taken,Removal,Time until first removal (h),Time at first removal,Time,Weather conditions,Removal type,Notes
11/20/2021,1,F,1,BURN,9:10,12:24,9,1,3.433,0.46875,11,Clear,,NA
11/20/2021,1,F,2,BURN,9:05,24.517,0,0,NA,NA,NA,Clear,,
11/20/2021,1,F,1,SCRUB,NA,NA,3,1,2.417,0.4597222222,11,Clear,,
11/20/2021,1,F,2,SCRUB,9:20,24.833,0,0,NA,NA,NA,Clear,,
11/21/2021,1,F,3,BURN,10:02,21.483,0,0,NA,NA,NA,Clear,,
11/21/2021,1,F,4,BURN,9:43,21.817,0,0,NA,NA,NA,Clear,,
11/21/2021,1,F,3,SCRUB,10:37,20.7,6,1,1.9,0.5215277778,12,Clear,,
11/21/2021,1,F,4,SCRUB,11:19,20.367,0,0,NA,NA,NA,Clear,,
1/14/2022,1,W,5,BURN,7:40,25.8,0,0,NA,NA,NA,Clear,,
1/14/2022,1,W,5,SCRUB,7:45,25.983,3,1,4.317,0.5034722222,12,Clear,,
1/14/2022,1,W,6,BURN,7:35,25.75,1,1,4.617,0.5083333333,12,Clear,,
1/14/2022,1,W,6,SCRUB,7:43,26.283,0,0,NA,NA,NA,Clear,,
1/15/2022,1,W,7,BURN,9:34,22.933,NA,1,8.85,0.7729166667,18,Rain,,Rainstorm/cold front
1/15/2022,1,W,7,SCRUB,9:15,23.417,NA,1,8.633,0.7743055556,18,Rain,,Rainstorm/cold front
1/15/2022,1,W,8,BURN,NA,NA,NA,0,NA,NA,NA,Rain,,Nonfunctional camera
1/15/2022,1,W,9,SCRUB,10:10,22.433,12,1,2.117,0.5118055556,12,Rain,,13:59 - Mass burial event
3/1/2022,1,W,10,BURN,7:31,23.6,2,1,6.95,0.6034722222,14,Fair,,
3/1/2022,1,W,11,BURN,7:31,NA,15,1,3.983,0.4791666667,11,Fair,,MBE; Amazing Phanaeus footage
3/1/2022,1,W,10,SCRUB,7:38,23.467,1,1,6.467,0.5875,14,Fair,,Shallow burial
3/1/2022,1,W,11,SCRUB,7:39,23.867,5,1,4.15,0.4916666667,11,Fair,,
5/10/2022,1,SP,12,BURN,8:28,22.35,0,0,NA,NA,NA,Fair,,
5/10/2022,1,SP,13,BURN,7:46,22.7,0,0,NA,NA,NA,Fair,,
5/10/2022,1,SP,12,SCRUB,8:21,10.633,0,0,NA,NA,NA,Fair,,
5/10/2022,1,SP,13,SCRUB,8:30,22.517,0,0,NA,NA,NA,Fair,,
5/11/2022,1,SP,14,SCRUB,20:33,10.3,0,0,NA,NA,NA,Fair,,
5/11/2022,1,SP,14,BURN,20:30,10.3,0,0,NA,NA,NA,Fair,,
11/20/2021,2,F,15,BURN,12:09,17.883,0,0,NA,NA,NA,Clear,,
11/20/2021,2,F,16,BURN,6:38,8:24,12,1,2.783,0.3923611111,9,Clear,,
11/20/2021,2,F,15,SCRUB,6:45,8:24,0,0,NA,NA,NA,Clear,,
11/20/2021,2,F,16,SCRUB,8:01,22.133,0,0,NA,NA,NA,Clear,,
5/10/2022,2,SP,17,BURN,17:52,13.25,0,0,NA,NA,NA,Fair,,
5/10/2022,2,SP,17,SCRUB,17:56,13.3,0,0,NA,NA,NA,Fair,,
5/11/2022,2,SP,18,BURN,11:04,22.983,0,0,NA,NA,NA,Fair,,
5/11/2022,2,SP,19,BURN,11:02,18.967,0,0,NA,NA,NA,Fair,,
5/11/2022,2,SP,18,SCRUB,11:45,NA,0,0,NA,NA,NA,Fair,,
5/11/2022,2,SP,19,SCRUB,11:52,19.783,0,0,NA,NA,NA,Fair,,
11/20/2021,4,F,20,BURN,13:02,23.503,3,1,21.798,0.4513888889,10,Clear,,
11/20/2021,4,F,21,BURN,13:04,23.553,0,0,NA,NA,NA,Clear,,
11/20/2021,4,F,20,SCRUB,14:10,23.62,0,0,NA,NA,NA,Clear,,
11/20/2021,4,F,21,SCRUB,13:31,23.17,0,0,NA,NA,NA,Clear,,
1/14/2022,4,W,22,BURN,7:07,24.883,0,0,NA,NA,NA,Clear,,23:44 - Opilionid
1/14/2022,4,W,22,SCRUB,7:18,25.183,0,0,NA,NA,NA,Clear,,
1/14/2022,4,W,23,BURN,7:13,25.05,7,1,4.8 ,0.5006944444,12,Clear,,
1/14/2022,4,W,23,SCRUB,7:30,25.333,0,0,NA,NA,NA,Clear,,camera positioned really badly
1/15/2022,4,W,24,BURN,8:15,23.817,NA,1,10.25,0.7708333333,18,Rain,,Rainstorm/cold front
1/15/2022,4,W,24,SCRUB,8:48,NA,NA,0,NA,NA,NA,Rain,,Rainstorm/cold front; Camera did not detect removal
1/15/2022,4,W,25,BURN,8:29,21.917,15,1,4.8,0.5541666667,13,Rain,,Rainstorm/coldfront; 14:16 - Mass rolling event
1/15/2022,4,W,25,SCRUB,9:03,23.167,2,1,5.983,0.6263888889,15,Rain,,Rainstorm/coldfront
11/20/2021,5,F,26,BURN,5:59,24,15,1,6,0.4993055556,11,Clear,,
11/20/2021,5,F,27,BURN,6:02,23.5,0,0,NA,NA,NA,Clear,,
11/20/2021,5,F,26,SCRUB,6:09,23.433,0,0,NA,NA,NA,Clear,,
11/20/2021,5,F,27,SCRUB,6:04,23.5,0,0,NA,NA,NA,Clear,,
3/28/2022,5,W,28,BURN,8:36,24.117,3,0,NA,NA,NA,Fair,,bad camera position
3/28/2022,5,W,29,BURN,8:40,24.35,13,1,1.45,0.4215277778,10,Fair,,MBE
