date,block_id,burn_season,env_type,start_time,trial_duration,rem_no,rem_event,latency,rem_time,hour
11/20/2021,1,F,BURN,9:10,12:24,9,1,3.433,11:15,11
11/20/2021,1,F,BURN,9:05,24.517,0,0,NA,NA,NA
11/20/2021,1,F,SCRUB,NA,NA,3,1,2.417,11:02,11
11/20/2021,1,F,SCRUB,9:20,24.833,0,0,NA,NA,NA
11/20/2021,2,F,BURN,12:09,17.883,0,0,NA,NA,NA
11/20/2021,2,F,BURN,6:38,8:24,12,1,2.783,9:25,9
11/20/2021,2,F,SCRUB,6:45,8:24,0,0,NA,NA,NA
11/20/2021,2,F,SCRUB,8:01,22.133,0,0,NA,NA,NA
11/20/2021,4,F,BURN,13:02,23.503,3,1,21.798,10:50,10
11/20/2021,4,F,BURN,13:04,23.553,0,0,NA,NA,NA
11/20/2021,4,F,SCRUB,14:10,23.62,0,0,NA,NA,NA
11/20/2021,4,F,SCRUB,13:31,23.17,0,0,NA,NA,NA
11/20/2021,5,F,BURN,5:59,24,15,1,6,11:59,11
11/20/2021,5,F,BURN,6:02,23.5,0,0,NA,NA,NA
11/20/2021,5,F,SCRUB,6:09,23.433,0,0,NA,NA,NA
11/20/2021,5,F,SCRUB,6:04,23.5,0,0,NA,NA,NA
11/20/2021,6,F,BURN,10:10,25.533,0,0,NA,NA,NA
11/20/2021,6,F,BURN,10:06,23.767,0,0,NA,NA,NA
11/20/2021,6,F,SCRUB,10:00,20:48,3,1,1.8,11:48,11
11/20/2021,6,F,SCRUB,10:05,20:48,1,1,1.583,11:39,11
11/20/2021,7,F,BURN,11:37,25.95,0,0,NA,NA,NA
11/20/2021,7,F,BURN,10:54,26.083,0,0,NA,NA,NA
11/20/2021,7,F,SCRUB,11:45,26.333,3,1,3.933,15:41,15
11/20/2021,7,F,SCRUB,11:42,24.283,0,0,NA,NA,NA
11/20/2021,8,F,BURN,9:01,26.183,6,0,NA,NA,NA
11/20/2021,8,F,BURN,7:57,24.35,0,0,NA,NA,NA
11/20/2021,8,F,SCRUB,8:05,24.583,5,1,16.45,0:32,0
11/20/2021,8,F,SCRUB,8:07,24.767,0,0,NA,NA,NA
11/21/2021,1,F,BURN,10:02,21.483,0,0,NA,NA,NA
11/21/2021,1,F,BURN,9:43,21.817,0,0,NA,NA,NA
11/21/2021,1,F,SCRUB,10:37,20.7,6,1,1.9,12:31,12
11/21/2021,1,F,SCRUB,11:19,20.367,0,0,NA,NA,NA
11/21/2021,6,F,BURN,11:51,22.6,0,0,NA,NA,NA
11/21/2021,6,F,BURN,9:53,25.583,0,0,NA,NA,NA
11/21/2021,6,F,SCRUB,11:26,24.55,0,0,NA,NA,NA
11/21/2021,6,F,SCRUB,11:19,24.667,0,0,NA,NA,NA
11/21/2021,7,F,BURN,NA,NA,3,1,15.017,2:38,2
11/21/2021,7,F,BURN,1:52,23.383,0,0,NA,NA,NA
11/21/2021,7,F,SCRUB,2:18,23.117,1,1,2.967,17:16,17
11/21/2021,7,F,SCRUB,NA,NA,0,0,NA,NA,NA
11/21/2021,8,F,BURN,9:38,22.4,3,1,1.517,11:09,11
11/21/2021,8,F,BURN,8:29,22.5,9,1,1.367,9:51,9
11/21/2021,8,F,SCRUB,9:03,22.05,0,0,NA,NA,NA
11/21/2021,8,F,SCRUB,9:14,21.95,0,0,NA,NA,NA
1/14/2022,1,W,BURN,7:40,25.8,0,0,NA,NA,NA
1/14/2022,1,W,SCRUB,7:45,25.983,3,1,4.317,12:05,12
1/14/2022,1,W,BURN,7:35,25.75,1,1,4.617,12:12,12
1/14/2022,1,W,SCRUB,7:43,26.283,0,0,NA,NA,NA
1/14/2022,4,W,BURN,7:07,24.883,0,0,NA,NA,NA
1/14/2022,4,W,SCRUB,7:18,25.183,0,0,NA,NA,NA
1/14/2022,4,W,BURN,7:13,25.05,7,1,4.8 ,13:18,12
1/14/2022,4,W,SCRUB,7:30,25.333,0,0,NA,NA,NA
1/14/2022,8,W,BURN,6:34,24.917,2,1,16.85,23:25,23
1/14/2022,8,W,SCRUB,6:56,23.817,0,0,NA,NA,NA
1/14/2022,8,W,BURN,6:29,24.8,14,1,7.117,13:36,13
1/14/2022,8,W,SCRUB,6:51,23.617,0,0,NA,NA,NA
1/15/2022,1,W,BURN,9:34,22.933,NA,1,8.85,18:33,18
1/15/2022,1,W,SCRUB,9:15,23.417,NA,1,8.633,18:35,18
1/15/2022,1,W,BURN,NA,NA,NA,0,NA,NA,NA
1/15/2022,1,W,SCRUB,10:10,22.433,12,1,2.117,12:17,12
1/15/2022,4,W,BURN,8:15,23.817,NA,1,10.25,18:30,18
1/15/2022,4,W,SCRUB,8:48,NA,NA,0,NA,NA,NA
1/15/2022,4,W,BURN,8:29,21.917,15,1,4.8,13:18,13
1/15/2022,4,W,SCRUB,9:03,23.167,2,1,5.983,15:02,15
1/15/2022,8,W,BURN,7:48,23.933,NA,1,5.267,13:04,13
1/15/2022,8,W,SCRUB,7:09,24.767,NA,0,NA,NA,NA
1/15/2022,8,W,BURN,7:27,24.2,NA,1,11.867,18:21,18
1/15/2022,8,W,SCRUB,7:14,24.6,NA,1,6.967,14:12,14
3/1/2022,1,W,BURN,7:31,23.6,2,1,6.95,14:29,14
3/1/2022,1,W,BURN,7:31,NA,15,1,3.983,11:30,11
3/1/2022,1,W,SCRUB,7:38,23.467,1,1,6.467,14:06,14
3/1/2022,1,W,SCRUB,7:39,23.867,5,1,4.15,11:48,11
3/1/2022,7,W,BURN,7:01,23.833,15,1,4.133,11:11,11
3/1/2022,7,W,BURN,7:05,23.683,1,1,5.983,12:56,12
3/1/2022,7,W,SCRUB,7:08,NA,15,1,3.8,10:56,10
3/1/2022,7,W,SCRUB,7:13,23.483,3,1,5.683 ,12:54,12
3/1/2022,8,W,BURN,6:45,23.767,1,1,5.65,12:24,12
3/1/2022,8,W,BURN,NA,NA,1,0,NA,NA,NA
