"","date","block_id","burn_season","env_type","start_time","trial_duration","rem_no","rem_event","latency","rem_time","hour","latency2","hour2"
"1","11/20/2021","1","F","BURN",09:10:00,"12:24",9,1,"3.433",11:15:00,11,3.433,11
"2","11/20/2021","1","F","BURN",09:05:00,"24.517",0,0,NA,NA,NA,NA,NA
"3","11/20/2021","1","F","SCRUB",NA,NA,3,1,"2.417",11:02:00,11,2.417,11
"4","11/20/2021","1","F","SCRUB",09:20:00,"24.833",0,0,NA,NA,NA,NA,NA
"5","11/20/2021","2","F","BURN",12:09:00,"17.883",0,0,NA,NA,NA,NA,NA
"6","11/20/2021","2","F","BURN",06:38:00,"8:24",12,1,"2.783",09:25:00,9,2.783,9
"7","11/20/2021","2","F","SCRUB",06:45:00,"8:24",0,0,NA,NA,NA,NA,NA
"8","11/20/2021","2","F","SCRUB",08:01:00,"22.133",0,0,NA,NA,NA,NA,NA
"9","11/20/2021","4","F","BURN",13:02:00,"23.503",3,1,"21.798",10:50:00,10,21.798,10
"10","11/20/2021","4","F","BURN",13:04:00,"23.553",0,0,NA,NA,NA,NA,NA
"11","11/20/2021","4","F","SCRUB",14:10:00,"23.62",0,0,NA,NA,NA,NA,NA
"12","11/20/2021","4","F","SCRUB",13:31:00,"23.17",0,0,NA,NA,NA,NA,NA
"13","11/20/2021","5","F","BURN",05:59:00,"24",15,1,"6",11:59:00,11,6,11
"14","11/20/2021","5","F","BURN",06:02:00,"23.5",0,0,NA,NA,NA,NA,NA
"15","11/20/2021","5","F","SCRUB",06:09:00,"23.433",0,0,NA,NA,NA,NA,NA
"16","11/20/2021","5","F","SCRUB",06:04:00,"23.5",0,0,NA,NA,NA,NA,NA
"17","11/20/2021","6","F","BURN",10:10:00,"25.533",0,0,NA,NA,NA,NA,NA
"18","11/20/2021","6","F","BURN",10:06:00,"23.767",0,0,NA,NA,NA,NA,NA
"19","11/20/2021","6","F","SCRUB",10:00:00,"20:48",3,1,"1.8",11:48:00,11,1.8,11
"20","11/20/2021","6","F","SCRUB",10:05:00,"20:48",1,1,"1.583",11:39:00,11,1.583,11
"21","11/20/2021","7","F","BURN",11:37:00,"25.95",0,0,NA,NA,NA,NA,NA
